team,date,opponent,goals_scored,goals_conceded,result,tournament,venue
"Canada","2026-06-05","Republic of Ireland",1,1,D,"Friendly","Home"
"Canada","2026-06-01","Uzbekistan",2,0,W,"Friendly","Home"
"Canada","2026-03-31","Tunisia",0,0,D,"Friendly","Home"
"Canada","2026-03-28","Iceland",2,2,D,"Friendly","Home"
"Canada","2025-11-18","Venezuela",2,0,W,"Friendly","Home"
"Canada","2025-11-13","Ecuador",0,0,D,"Friendly","Home"
"Canada","2025-10-14","Colombia",0,0,D,"Friendly","Home"
"Canada","2025-10-10","Australia",0,1,L,"Friendly","Home"
"Canada","2025-09-09","Wales",1,0,W,"Friendly","Away"
"Canada","2025-09-05","Romania",3,0,W,"Friendly","Away"
"Canada","2025-06-29","Guatemala",1,1,D,"Gold Cup","Home"
"Canada","2025-06-24","El Salvador",2,0,W,"Gold Cup","Home"
"Canada","2025-06-21","Curaçao",1,1,D,"Gold Cup","Away"
"Canada","2025-06-17","Honduras",6,0,W,"Gold Cup","Home"
"Canada","2025-06-10","Ivory Coast",0,0,D,"Canadian Shield","Home"
"Mexico","2026-06-04","Serbia",5,1,W,"Friendly","Home"
"Mexico","2026-05-30","Australia",1,0,W,"Friendly","Home"
"Mexico","2026-05-22","Ghana",2,0,W,"Friendly","Home"
"Mexico","2026-03-31","Belgium",1,1,D,"Friendly","Home"
"Mexico","2026-03-28","Portugal",0,0,D,"Friendly","Home"
"Mexico","2026-02-25","Iceland",4,0,W,"Friendly","Home"
"Mexico","2026-01-25","Bolivia",1,0,W,"Friendly","Away"
"Mexico","2026-01-22","Panama",1,0,W,"Friendly","Away"
"Mexico","2025-11-18","Paraguay",1,2,L,"Friendly","Home"
"Mexico","2025-11-15","Uruguay",0,0,D,"Friendly","Home"
"Mexico","2025-10-14","Ecuador",1,1,D,"Friendly","Home"
"Mexico","2025-10-11","Colombia",0,4,L,"Friendly","Home"
"Mexico","2025-09-09","South Korea",2,2,D,"Friendly","Home"
"Mexico","2025-09-06","Japan",0,0,D,"Friendly","Home"
"Mexico","2025-07-06","United States",2,1,W,"Gold Cup","Away"
"United States","2026-06-06","Germany",1,2,L,"Friendly","Home"
"United States","2026-05-31","Senegal",3,2,W,"Friendly","Home"
"United States","2026-03-31","Portugal",0,2,L,"Friendly","Home"
"United States","2026-03-28","Belgium",2,5,L,"Friendly","Home"
"United States","2025-11-18","Uruguay",5,1,W,"Friendly","Home"
"United States","2025-11-15","Paraguay",2,1,W,"Friendly","Home"
"United States","2025-10-14","Australia",2,1,W,"Friendly","Home"
"United States","2025-10-10","Ecuador",1,1,D,"Friendly","Home"
"United States","2025-09-09","Japan",2,0,W,"Friendly","Home"
"United States","2025-09-06","South Korea",0,2,L,"Friendly","Home"
"United States","2025-07-06","Mexico",1,2,L,"Gold Cup","Home"
"United States","2025-07-02","Guatemala",2,1,W,"Gold Cup","Home"
"United States","2025-06-29","Costa Rica",2,2,D,"Gold Cup","Home"
"United States","2025-06-22","Haiti",2,1,W,"Gold Cup","Home"
"United States","2025-06-19","Saudi Arabia",1,0,W,"Gold Cup","Home"
"Australia","2026-06-06","Switzerland",1,1,D,"Friendly","Home"
"Australia","2026-05-30","Mexico",0,1,L,"Friendly","Away"
"Australia","2026-03-31","Curaçao",5,1,W,"FIFA Series","Home"
"Australia","2026-03-27","Cameroon",1,0,W,"FIFA Series","Home"
"Australia","2025-11-18","Colombia",0,3,L,"Friendly","Away"
"Australia","2025-11-14","Venezuela",0,1,L,"Friendly","Home"
"Australia","2025-10-14","United States",1,2,L,"Friendly","Away"
"Australia","2025-10-10","Canada",1,0,W,"Friendly","Away"
"Australia","2025-09-09","New Zealand",3,1,W,"Soccer Ashes","Away"
"Australia","2025-09-05","New Zealand",1,0,W,"Soccer Ashes","Home"
"Australia","2025-06-10","Saudi Arabia",2,1,W,"FIFA World Cup qualification","Away"
"Australia","2025-06-05","Japan",1,0,W,"FIFA World Cup qualification","Home"
"Australia","2025-03-25","China",2,0,W,"FIFA World Cup qualification","Away"
"Australia","2025-03-20","Indonesia",5,1,W,"FIFA World Cup qualification","Home"
"Australia","2024-11-19","Bahrain",2,2,D,"FIFA World Cup qualification","Away"
"Iraq","2026-06-09","Venezuela",0,2,L,"Friendly","Home"
"Iraq","2026-06-04","Spain",1,1,D,"Friendly","Away"
"Iraq","2026-05-29","Andorra",1,0,W,"Friendly","Away"
"Iraq","2026-03-31","Bolivia",2,1,W,"FIFA World Cup qualification","Home"
"Iraq","2025-12-12","Jordan",0,1,L,"Arab Cup","Away"
"Iraq","2025-12-09","Algeria",0,2,L,"Arab Cup","Away"
"Iraq","2025-12-06","Sudan",2,0,W,"Arab Cup","Away"
"Iraq","2025-12-03","Bahrain",2,1,W,"Arab Cup","Home"
"Iraq","2025-11-18","United Arab Emirates",2,1,W,"FIFA World Cup qualification","Home"
"Iraq","2025-11-13","United Arab Emirates",1,1,D,"FIFA World Cup qualification","Away"
"Iraq","2025-10-14","Saudi Arabia",0,0,D,"FIFA World Cup qualification","Away"
"Iraq","2025-10-11","Indonesia",1,0,W,"FIFA World Cup qualification","Home"
"Iraq","2025-09-07","Thailand",1,0,W,"King's Cup","Away"
"Iraq","2025-09-04","Hong Kong",2,1,W,"King's Cup","Home"
"Iraq","2025-06-10","Jordan",1,0,W,"FIFA World Cup qualification","Away"
"Iran","2026-06-04","Mali",2,0,W,"Friendly","Home"
"Iran","2026-05-29","Gambia",3,1,W,"Friendly","Home"
"Iran","2026-03-31","Costa Rica",5,0,W,"Friendly","Away"
"Iran","2026-03-27","Nigeria",1,2,L,"Friendly","Home"
"Iran","2025-11-18","Uzbekistan",0,0,D,"Al Ain International Cup","Home"
"Iran","2025-11-13","Cabo Verde",0,0,D,"Al Ain International Cup","Home"
"Iran","2025-10-14","Tanzania",2,0,W,"Friendly","Home"
"Iran","2025-10-10","Russia",1,2,L,"Friendly","Away"
"Iran","2025-06-10","North Korea",3,0,W,"FIFA World Cup qualification","Home"
"Iran","2025-06-05","Qatar",0,1,L,"FIFA World Cup qualification","Away"
"Iran","2025-03-25","Uzbekistan",2,2,D,"FIFA World Cup qualification","Home"
"Iran","2025-03-20","United Arab Emirates",2,0,W,"FIFA World Cup qualification","Home"
"Iran","2024-11-19","Kyrgyzstan",3,2,W,"FIFA World Cup qualification","Away"
